"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
6,40,526,"B07FZ1JHLF",true,4.49,"USD",5.99,1.5,25.04,684,4.4,"https://www.amazon.com/dp/B07FZ1JHLF","3009.60",false,false,false,false,"GTS Yogurt Coconut, 8 Fluid oz","https://m.media-amazon.com/images/I/81PdDwDqlhL._AC_UL320_.jpg"
6,41,527,"B08JFWJRG1",false,1.99,"USD",0,0,0,346,4,"https://www.amazon.com/dp/B08JFWJRG1","1384.00",false,false,false,false,"Oatly Plain Oatgurt, 5.3 OZ","https://m.media-amazon.com/images/I/81YWVGqd0sL._AC_UL320_.jpg"
6,42,528,"B00CHTUPMK",false,55.9,"USD",0,0,0,28,4.5,"https://www.amazon.com/dp/B00CHTUPMK","126.00",false,false,false,false,"Stonyfield Farm Organic Low Fat Strawberry Blends Yogurt, 6 Ounce -- 12 per case.","https://m.media-amazon.com/images/I/91Wz-czDULL._AC_UL320_.jpg"
6,44,530,"B00CHUDFEO",false,51.9,"USD",0,0,0,5,3,"https://www.amazon.com/dp/B00CHUDFEO","15.00",false,false,false,false,"Yoplait Light Harvest Peach Yogurt, 6 Ounce -- 12 per case.","https://m.media-amazon.com/images/I/61hZfzp5GaL._AC_UL320_.jpg"
6,46,532,"B08GZ7PTYJ",false,4.69,"USD",0,0,0,265,4.7,"https://www.amazon.com/dp/B08GZ7PTYJ","1245.50",false,false,false,false,"CULINA Sour Cherry Almond Coconut Yogurt, 5 OZ","https://m.media-amazon.com/images/I/917qXPOeLHL._AC_UL320_.jpg"
6,48,534,"B08T6JTLBL",false,14.99,"USD",0,0,0,3,5,"https://www.amazon.com/dp/B08T6JTLBL","15.00",false,false,false,true,"Plant Based Greek Yogurt Kefir Starter - Alive and Active Kit will produce 12 quarts of dairy free Greek yogurt kefir - ov...","https://m.media-amazon.com/images/I/819i2vmYS7L._AC_UL320_.jpg"
6,49,535,"B07Q2LJ3Y2",false,13.95,"USD",0,0,0,10,4.1,"https://www.amazon.com/dp/B07Q2LJ3Y2","41.00",false,false,false,false,"Viili (Short) Heirloom Mesophilic Yogurt Starter Culture Dehydrated","https://m.media-amazon.com/images/I/71PI1II91SL._AC_UL320_.jpg"
6,50,536,"B076PNT3T4",false,0,"USD",0,0,0,7,3.3,"https://www.amazon.com/dp/B076PNT3T4","23.10",false,false,false,false,"Siggis Non Fat Vanilla Yogurt, 5.3 Ounce (Pack of 12)","https://m.media-amazon.com/images/I/51b16dnwr1L._AC_UL320_.jpg"
6,51,537,"B00MJG425M",false,71.9,"USD",0,0,0,3,5,"https://www.amazon.com/dp/B00MJG425M","15.00",false,false,false,false,"Upstate Farms Greek Nonfat Blended Plain Yogurt, 32 Ounce -- 6 per case.","https://m.media-amazon.com/images/I/51wEU26L1KL._AC_UL320_.jpg"
6,52,538,"B08MVDS21B",false,49.99,"USD",0,0,0,2,4.5,"https://www.amazon.com/dp/B08MVDS21B","9.00",false,false,false,true,"Automatic Yogurt Maker with Free Bonus | Includes one five gram non-dairy yogurt starter | Will make vegan yogurt, Greek y...","https://m.media-amazon.com/images/I/61OyIqyi+pL._AC_UL320_.jpg"
6,53,539,"B07FM5NPZ3",true,4.49,"USD",5.29,0.8,15.12,504,4.9,"https://www.amazon.com/dp/B07FM5NPZ3","2469.60",false,false,false,false,"Icelandic Provisions Traditional Plain Skyr, 24 oz","https://m.media-amazon.com/images/I/811IchVm9oL._AC_UL320_.jpg"
6,54,540,"B07NVZSNN9",false,53.4,"USD",0,0,0,22,4.5,"https://www.amazon.com/dp/B07NVZSNN9","99.00",false,false,false,false,"Activia Strawberry Black Cherry Peach Yogurt, 4 Ounce -- 24 per case.","https://m.media-amazon.com/images/I/61IRvWLihcL._AC_UL320_.jpg"
6,55,541,"B00NAJ00P8",false,4.79,"USD",0,0,0,495,4.8,"https://www.amazon.com/dp/B00NAJ00P8","2376.00",false,false,false,false,"GREEN VALLEY CREAMERY YOGURT LCF PLAIN ORG","https://m.media-amazon.com/images/I/811+RmyuKwL._AC_UL320_.jpg"
6,56,542,"B01M7YXBL2",false,16.99,"USD",0,0,0,644,4.6,"https://www.amazon.com/dp/B01M7YXBL2","2962.40",false,false,false,true,"Sponsored Ad - Balance Bar, Healthy Protein Snacks, Yogurt Honey Peanut, With Vitamin A, Vitamin C, Vitamin D, and Zinc to...","https://m.media-amazon.com/images/I/61fxsnbw2tL._AC_UL320_.jpg"
6,57,543,"B004HK60VM",false,31.99,"USD",0,0,0,918,4.7,"https://www.amazon.com/dp/B004HK60VM","4314.60",false,false,false,true,"Sponsored Ad - Silk Shelf-Stable Soymilk Singles, Very Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 8 oz., 18 Pack","https://m.media-amazon.com/images/I/71XEftNF6bL._AC_UL320_.jpg"
7,11,544,"B07QQGKC8T",false,56.03,"USD",0,0,0,1,1,"https://www.amazon.com/dp/B07QQGKC8T","1.00",false,false,false,false,"Chobani Strawberry Yogurt, 4 Ounce -- 12 per case.","https://m.media-amazon.com/images/I/71IpJZnkTKL._AC_UL320_.jpg"
7,12,545,"B00B03ZFAG",false,0,"USD",0,0,0,1,4,"https://www.amazon.com/dp/B00B03ZFAG","4.00",false,false,false,false,"Siggis Skyr Strawberry Icelandic Style Yogurt, 5.3 Ounce - 12 per case","https://m.media-amazon.com/images/I/817ZcZcvm6L._AC_UL320_.jpg"
7,13,546,"B078837C7L",false,1.35,"USD",0,0,0,920,4.5,"https://www.amazon.com/dp/B078837C7L","4140.00",false,false,false,false,"So Delicious, Chocolate Coconut Milk Yogurt, 5.3 Ounce","https://m.media-amazon.com/images/I/71NFpQ371eL._AC_UL320_.jpg"
7,14,547,"B00VVYY7H6",false,79.98,"USD",0,0,0,3,5,"https://www.amazon.com/dp/B00VVYY7H6","15.00",false,false,false,false,"DANNON DANIMALS SMOOTHIES STRAWBERRY & BANANA 12 CT PACK OF 2","https://m.media-amazon.com/images/I/5182hah1yJL._AC_UL320_.jpg"
7,15,548,"B079NBLLRN",true,4.49,"USD",5.99,1.5,25.04,470,4.5,"https://www.amazon.com/dp/B079NBLLRN","2115.00",false,false,false,false,"GTS Vanilla Cocoyo, 8 FZ","https://m.media-amazon.com/images/I/91PPUz6rSiL._AC_UL320_.jpg"
7,16,549,"B07BBWXZTH",true,47.9,"USD",56.41,8.51,15.09,2,2.2,"https://www.amazon.com/dp/B07BBWXZTH","4.40",false,false,false,false,"Chobani Black Cherry on the Bottom Non Fat Greek Yogurt, 5.3 Ounce -- 12 per case","https://m.media-amazon.com/images/I/618RqATwCFL._AC_UL320_.jpg"
7,17,550,"B016KGWAA0",false,31.99,"USD",0,0,0,741,4.5,"https://www.amazon.com/dp/B016KGWAA0","3334.50",false,false,false,false,"Sponsored Ad - Powerful Foods, Protein Shake, 20g Protein, Greek Yogurt, Low Carb, Gluten Free, Kosher, Ready to Drink (Mo...","https://m.media-amazon.com/images/I/61UuTJFtgrS._AC_UL320_.jpg"
